Order_ID,Order_Date,Customer_Name,Region,State,Category,Product,Quantity,Sales,Profit,Payment_Mode,,
ORD00029,2025-09-02,Rohan Roy,West,Tamil Nadu,Furniture,Sofa,4,46605,5993,Credit Card,,
ORD00030,2025-03-17,Nikhil Gupta,East,Gujarat,Office Supplies,Stapler,6,35759,6937,Credit Card,,
ORD00031,2025-03-02,Nikhil Shetty,South,Karnataka,Electronics,Mobile,7,7102,673,Net Banking,,
ORD00032,2025-04-20,Aditi Tiwari,North,Tamil Nadu,Furniture,Table,3,11030,2160,Cash,,
ORD00033,2024-03-24,Siddharth Das,East,Karnataka,Clothing,Jeans,7,3105,212,UPI,,
ORD00034,2024-07-09,Kavya Joshi,North,Maharashtra,Office Supplies,Printer Paper,6,4641,507,Net Banking,,
ORD00035,2024-08-03,Meera Shah,South,Karnataka,Electronics,Laptop,2,8610,716,UPI,,
ORD00036,2025-04-26,Yash Singh,East,Karnataka,Office Supplies,Stapler,5,24333,3030,Cash,,
ORD00037,2024-06-05,Vivaan Patil,East,Rajasthan,Furniture,Table,9,36004,7007,Net Banking,,
ORD00038,2025-11-25,Om Ansari,West,Maharashtra,Office Supplies,Notebook,1,46801,5633,UPI,,
ORD00039,2025-12-02,Sakshi Patil,East,Tamil Nadu,Electronics,Mobile,5,10335,1920,Debit Card,,
ORD00040,2024-10-14,Vivaan Gupta,North,Gujarat,Electronics,Laptop,2,29636,5710,Net Banking,,
ORD00041,2025-04-05,Aditya Pawar,South,Gujarat,Electronics,Headphones,10,27118,2768,Debit Card,,
ORD00042,2025-12-01,Ritika Verma,East,Tamil Nadu,Electronics,Laptop,5,9970,2022,Net Banking,,
ORD00043,2024-11-13,Abhishek Kulkarni,North,Rajasthan,Furniture,Cabinet,4,10950,2349,Credit Card,,
ORD00044,2024-10-22,Om Das,East,Delhi,Furniture,Table,8,20757,2319,Debit Card,,
ORD00045,2024-12-16,Vikas Khan,West,Karnataka,Office Supplies,Marker,1,42556,2929,UPI,,
ORD00046,2025-12-01,Abhishek More,West,Rajasthan,Electronics,Tablet,6,42235,2489,Debit Card,,
ORD00047,2025-11-07,Sai Menon,South,Delhi,Clothing,Shoes,1,41075,3099,Cash,,
ORD00048,2024-09-17,Ishita More,South,Tamil Nadu,Office Supplies,Stapler,4,48726,3380,Net Banking,,
ORD00049,2025-05-23,Priya Kulkarni,North,Rajasthan,Clothing,Jacket,10,49314,7524,Debit Card,,
ORD00050,2025-03-07,Aisha Chavan,South,Gujarat,Clothing,Shirt,7,39197,2889,Cash,,
ORD00051,2024-11-23,Siddharth Naik,South,Tamil Nadu,Furniture,Desk,8,32514,3425,Debit Card,,
ORD00052,2025-02-07,Aditi Nair,South,Rajasthan,Office Supplies,Pen,6,32769,3146,Debit Card,,
ORD00053,2024-04-22,Abhishek Rane,West,Maharashtra,Electronics,Tablet,9,15685,3709,UPI,,
ORD00054,2024-01-31,Shreya Menon,West,Gujarat,Clothing,Jacket,8,40649,7529,Cash,,
ORD00055,2024-06-03,Aryan Menon,West,Delhi,Electronics,Headphones,9,41470,5070,UPI,,
ORD00056,2025-11-18,Ritika Menon,West,Karnataka,Furniture,Chair,7,6393,854,Credit Card,,
ORD00057,2024-05-06,Aarav Yadav,South,Delhi,Office Supplies,Stapler,1,31353,2048,Debit Card,,
ORD00058,2025-02-02,Aditi Verma,West,Gujarat,Clothing,Jacket,8,9355,1287,Debit Card,,
ORD00059,2024-09-23,Tanvi Rane,West,Karnataka,Office Supplies,Printer Paper,8,8096,1523,Net Banking,,
ORD00060,2025-05-10,Abhishek Ansari,South,Karnataka,Clothing,Shirt,8,20261,3660,Credit Card,,
ORD00061,2024-05-31,Om Gupta,South,Gujarat,Clothing,Shoes,6,45574,4011,Credit Card,,
ORD00062,2024-08-07,Aditi Patel,South,Rajasthan,Electronics,Headphones,10,2123,511,UPI,,
ORD00063,2025-03-28,Rahul Chavan,East,Rajasthan,Electronics,Headphones,6,15743,1539,Cash,,
ORD00064,2025-08-13,Aisha Rane,North,Gujarat,Electronics,Smart Watch,7,6794,1240,Credit Card,,
ORD00065,2024-02-08,Aryan Yadav,South,Delhi,Office Supplies,Marker,6,44010,3666,Cash,,
ORD00066,2024-03-05,Vikas Menon,North,Tamil Nadu,Clothing,Jacket,4,5687,1051,Cash,,
ORD00067,2024-11-29,Om Mishra,East,Maharashtra,Office Supplies,Pen,10,47155,4459,Net Banking,,
ORD00068,2025-04-12,Aryan Joshi,South,Maharashtra,Office Supplies,Marker,5,16211,3877,Credit Card,,
ORD00069,2025-05-07,Aisha Roy,West,Maharashtra,Electronics,Mobile,6,20650,1832,Debit Card,,
ORD00070,2025-10-27,Karan Khan,North,Karnataka,Electronics,Mobile,5,23743,3272,Debit Card,,
ORD00071,2024-09-13,Aditi Patil,East,Maharashtra,Clothing,Shoes,8,46654,9452,Credit Card,,
ORD00072,2024-05-22,Aditya Verma,East,Delhi,Furniture,Cabinet,8,48814,7428,Debit Card,,
ORD00073,2025-09-04,Karan Naik,East,Tamil Nadu,Electronics,Headphones,5,10002,773,UPI,,
ORD00074,2024-07-29,Abhishek Jadhav,North,Rajasthan,Electronics,Laptop,1,24141,2727,Cash,,
ORD00075,2025-11-18,Ritika Iyer,South,Gujarat,Electronics,Mobile,9,45628,3402,Cash,,
ORD00076,2025-10-19,Siddharth Jadhav,North,Tamil Nadu,Electronics,Headphones,5,14643,3060,Credit Card,,
ORD00077,2024-10-16,Siddharth Iyer,East,Rajasthan,Office Supplies,Printer Paper,7,46130,3448,Cash,,
ORD00078,2025-12-04,Aditi Ansari,South,Rajasthan,Electronics,Laptop,2,19053,1500,Credit Card,,
ORD00079,2024-02-27,Sneha Khan,North,Maharashtra,Office Supplies,Printer Paper,5,31131,3698,Debit Card,,
ORD00080,2025-05-09,Vivaan Yadav,East,Maharashtra,Clothing,Shoes,7,1210,276,Credit Card,,
ORD00081,2024-11-30,Aryan Joshi,West,Rajasthan,Electronics,Tablet,3,13581,2286,UPI,,
ORD00082,2024-06-05,Yash Shetty,West,Tamil Nadu,Office Supplies,Notebook,6,34788,3409,UPI,,
ORD00083,2024-01-20,Siddharth Roy,South,Rajasthan,Office Supplies,Marker,7,30426,7377,Cash,,
ORD00084,2024-09-20,Vivaan Chavan,East,Rajasthan,Clothing,Jeans,5,10791,1535,Credit Card,,
ORD00085,2025-02-04,Kavya Patel,South,Karnataka,Electronics,Laptop,10,26329,1415,UPI,,
ORD00086,2025-09-28,Priya Patel,West,Delhi,Electronics,Smart Watch,7,38801,6124,Debit Card,,
ORD00087,2024-08-01,Priya Menon,West,Rajasthan,Electronics,Smart Watch,3,41416,10340,UPI,,
ORD00088,2025-08-26,Siddharth Jadhav,North,Gujarat,Electronics,Tablet,7,11816,2416,Cash,,
ORD00089,2025-01-31,Rohan Sharma,North,Rajasthan,Office Supplies,Pen,6,4922,783,UPI,,
ORD00090,2024-10-25,Ritika Das,South,Tamil Nadu,Furniture,Desk,5,31348,4242,Cash,,
ORD00091,2024-08-12,Akash Chavan,West,Karnataka,Clothing,Jacket,8,10088,1267,Cash,,
ORD00092,2025-04-13,Nikhil Deshmukh,West,Delhi,Furniture,Chair,1,24813,3689,Debit Card,,
ORD00093,2025-01-18,Meera Kulkarni,West,Tamil Nadu,Office Supplies,Marker,4,26522,2637,Credit Card,,
ORD00094,2025-09-14,Aarav Shaikh,West,Maharashtra,Clothing,T-Shirt,4,43551,5903,Debit Card,,
ORD00095,2024-04-10,Arjun Patil,West,Maharashtra,Office Supplies,Pen,2,32049,4707,Debit Card,,
ORD00096,2025-10-14,Akash Ghosh,South,Rajasthan,Electronics,Tablet,8,46162,9352,UPI,,
ORD00097,2025-10-29,Aryan Verma,North,Karnataka,Office Supplies,Notebook,10,36758,8731,Net Banking,,
ORD00098,2025-04-06,Sneha Rane,South,Maharashtra,Office Supplies,Printer Paper,2,12026,2690,Cash,,
ORD00099,2025-02-12,Kavya More,West,Tamil Nadu,Office Supplies,Pen,6,38124,5532,Credit Card,,
ORD00100,2024-07-26,Kavya Menon,North,Delhi,Clothing,Jeans,9,24256,5596,Credit Card,,
ORD00101,2024-01-01,Ritika Shah,South,Karnataka,Electronics,Mobile,1,1879,266,Net Banking,,
ORD00102,2024-08-23,Nikhil Kadam,East,Maharashtra,Electronics,Headphones,2,45061,8049,Credit Card,,
ORD00103,2024-12-25,Ritika Tiwari,North,Karnataka,Clothing,Jeans,1,23597,2423,Net Banking,,
ORD00104,2024-12-03,Sakshi Kadam,East,Delhi,Electronics,Headphones,5,20953,4562,Credit Card,,
ORD00105,2024-07-27,Kavya Shetty,North,Tamil Nadu,Clothing,T-Shirt,4,19572,4306,Debit Card,,
ORD00106,2025-09-03,Aditi Menon,West,Karnataka,Furniture,Sofa,9,26122,6087,Net Banking,,
ORD00107,2025-08-01,Meera Shah,East,Delhi,Furniture,Table,4,34628,2189,Net Banking,,
ORD00108,2025-10-13,Neha Pawar,East,Gujarat,Clothing,Jeans,10,38040,3658,Net Banking,,
ORD00109,2024-03-21,Om Kadam,West,Maharashtra,Clothing,Shoes,10,27828,5164,Debit Card,,
ORD00110,2025-06-19,Shreya Ghosh,West,Maharashtra,Furniture,Desk,8,38066,3206,Debit Card,,
ORD00111,2024-05-27,Priya Yadav,West,Rajasthan,Furniture,Table,3,46057,5617,Credit Card,,
ORD00112,2024-08-17,Arjun Chavan,South,Delhi,Office Supplies,Pen,4,34015,2888,Net Banking,,
ORD00113,2024-04-07,Sakshi Nair,North,Tamil Nadu,Office Supplies,Pen,10,10251,615,Cash,,
ORD00114,2024-05-12,Rohan Pawar,East,Rajasthan,Clothing,Jeans,4,42359,4454,Cash,,
ORD00115,2024-10-31,Priya Sharma,West,Delhi,Clothing,Shirt,4,7158,1748,Credit Card,,
ORD00116,2025-01-17,Ritika Patil,West,Tamil Nadu,Furniture,Cabinet,5,34374,2664,Debit Card,,
ORD00117,2024-07-16,Abhishek Shetty,West,Maharashtra,Office Supplies,Printer Paper,10,16394,1510,Credit Card,,
ORD00118,2025-06-13,Aditi Naik,South,Karnataka,Office Supplies,Notebook,8,6529,613,Cash,,
ORD00119,2025-06-16,Aarav Chavan,South,Gujarat,Office Supplies,Marker,7,31644,2694,Net Banking,,
ORD00120,2025-11-15,Priya Jadhav,South,Maharashtra,Furniture,Chair,10,32939,1939,UPI,,
ORD00121,2025-04-09,Karan Shaikh,East,Rajasthan,Office Supplies,Printer Paper,2,3756,285,UPI,,
ORD00122,2025-09-01,Pooja Patil,East,Tamil Nadu,Clothing,Jeans,4,27736,5312,Debit Card,,
ORD00123,2025-10-12,Akash Rane,East,Delhi,Electronics,Laptop,7,9727,610,Credit Card,,
ORD00124,2024-01-03,Sakshi Ansari,West,Karnataka,Office Supplies,Pen,9,18529,3568,Net Banking,,
ORD00125,2025-05-02,Tanvi Das,West,Karnataka,Office Supplies,Notebook,9,31774,1944,Credit Card,,
ORD00126,2025-09-02,Om Kulkarni,East,Delhi,Electronics,Mobile,4,12397,2517,UPI,,
ORD00127,2025-05-05,Arjun Iyer,North,Gujarat,Electronics,Smart Watch,6,19918,2981,Net Banking,,
ORD00128,2024-10-08,Ananya Kadam,North,Gujarat,Office Supplies,Pen,7,26918,5710,Cash,,
ORD00129,2024-03-26,Aryan Shetty,South,Karnataka,Office Supplies,Stapler,1,35783,6820,Debit Card,,
ORD00130,2024-09-21,Aarav Menon,East,Maharashtra,Electronics,Tablet,5,30609,3569,Net Banking,,
ORD00131,2025-05-31,Meera Chavan,North,Karnataka,Electronics,Tablet,4,30832,7572,Net Banking,,
ORD00132,2025-12-08,Aisha Joshi,South,Tamil Nadu,Electronics,Laptop,9,28468,5137,Debit Card,,
ORD00133,2024-05-11,Meera Khan,South,Tamil Nadu,Office Supplies,Notebook,9,4167,857,Net Banking,,
ORD00134,2025-02-23,Meera Gupta,North,Karnataka,Furniture,Desk,1,13659,1275,UPI,,
ORD00135,2025-11-25,Pooja Shah,North,Gujarat,Electronics,Mobile,3,25492,1449,Cash,,
ORD00136,2025-08-19,Vivaan Tiwari,West,Gujarat,Clothing,Jacket,8,36703,3945,Credit Card,,
ORD00137,2025-07-14,Vivaan Rane,South,Delhi,Electronics,Tablet,10,8959,1162,Credit Card,,
ORD00138,2025-07-03,Aryan Naik,North,Tamil Nadu,Furniture,Sofa,9,2091,304,Cash,,
ORD00139,2024-12-18,Rahul Patel,West,Karnataka,Office Supplies,Stapler,3,12029,2625,Net Banking,,
ORD00140,2024-12-11,Akash Roy,East,Maharashtra,Clothing,Shirt,9,26481,6127,UPI,,
ORD00141,2024-03-17,Sai Menon,West,Maharashtra,Furniture,Desk,9,27302,5439,Credit Card,,
ORD00142,2024-08-08,Neha Das,North,Rajasthan,Electronics,Smart Watch,1,9987,2438,Cash,,
ORD00143,2024-01-12,Sneha Mishra,South,Maharashtra,Clothing,T-Shirt,5,13075,2570,Credit Card,,
ORD00144,2024-05-05,Aisha Chavan,East,Delhi,Furniture,Cabinet,1,43149,9444,Cash,,
ORD00145,2024-07-11,Kavya Khan,North,Rajasthan,Furniture,Sofa,10,4821,822,UPI,,
ORD00146,2024-07-30,Ritika Kadam,North,Delhi,Clothing,Jacket,5,12483,3101,Credit Card,,
ORD00147,2025-04-07,Rohan Ansari,West,Tamil Nadu,Electronics,Laptop,9,30187,7367,Net Banking,,
ORD00148,2025-07-06,Neha Jadhav,East,Tamil Nadu,Office Supplies,Stapler,5,16616,1331,Debit Card,,
ORD00149,2024-09-03,Meera Das,South,Tamil Nadu,Furniture,Cabinet,10,22062,2829,Net Banking,,
ORD00150,2025-10-22,Yash Verma,East,Delhi,Electronics,Smart Watch,5,32743,6951,Debit Card,,
ORD00151,2025-12-18,Neha Ansari,East,Karnataka,Electronics,Laptop,7,28417,5101,Cash,,
ORD00152,2025-07-12,Nikhil Das,North,Rajasthan,Furniture,Chair,10,44039,10958,Credit Card,,
ORD00153,2024-04-29,Sneha Ansari,South,Karnataka,Electronics,Headphones,9,13857,708,UPI,,
ORD00154,2024-02-07,Aryan Shaikh,South,Rajasthan,Furniture,Chair,9,28357,6166,Net Banking,,
ORD00155,2025-05-03,Tanvi Mishra,East,Karnataka,Furniture,Sofa,9,19708,1775,Credit Card,,
ORD00156,2025-03-26,Aisha Naik,East,Gujarat,Electronics,Smart Watch,6,24848,5335,Debit Card,,
ORD00157,2024-06-12,Priya Mishra,South,Delhi,Clothing,Jeans,5,8476,437,Debit Card,,
ORD00158,2025-11-30,Vikas Rane,North,Karnataka,Clothing,Shirt,3,31536,2750,Net Banking,,
ORD00159,2025-10-07,Vikas Ghosh,North,Gujarat,Electronics,Headphones,1,8042,699,Debit Card,,
ORD00160,2025-08-30,Akash Verma,West,Rajasthan,Electronics,Mobile,5,19477,2319,Debit Card,,
ORD00161,2025-01-25,Ishita Kadam,West,Tamil Nadu,Electronics,Smart Watch,3,43492,3653,Credit Card,,
ORD00162,2025-04-06,Ritika Shah,East,Karnataka,Clothing,Shoes,8,46066,2699,Credit Card,,
ORD00163,2025-11-20,Rahul Mishra,South,Tamil Nadu,Clothing,Jacket,2,47433,9846,Cash,,
ORD00164,2025-06-22,Neha Shetty,West,Gujarat,Clothing,Jacket,1,14710,1130,UPI,,
ORD00165,2025-12-23,Abhishek Singh,West,Tamil Nadu,Furniture,Sofa,10,28559,5411,Debit Card,,
ORD00166,2025-06-25,Pooja Shah,South,Maharashtra,Electronics,Laptop,8,27994,1584,Cash,,
ORD00167,2025-08-14,Ishita Kulkarni,East,Tamil Nadu,Office Supplies,Printer Paper,8,13575,782,Net Banking,,
ORD00168,2025-08-20,Priya Singh,North,Maharashtra,Clothing,Shirt,1,43081,2370,Credit Card,,
ORD00169,2024-10-11,Ritika Chavan,West,Rajasthan,Electronics,Smart Watch,2,25236,4871,Net Banking,,
ORD00170,2024-02-16,Aryan Patel,West,Tamil Nadu,Electronics,Laptop,2,46391,9546,Credit Card,,
ORD00171,2024-04-12,Kavya Sharma,South,Karnataka,Electronics,Laptop,8,33613,6568,Net Banking,,
ORD00172,2024-04-15,Pooja Deshmukh,West,Maharashtra,Electronics,Laptop,6,17452,3708,Cash,,
ORD00173,2024-07-15,Rahul Shah,South,Rajasthan,Office Supplies,Notebook,2,8866,1003,Credit Card,,
ORD00174,2024-03-31,Aditya Rane,North,Delhi,Furniture,Desk,4,5020,1028,Net Banking,,
ORD00175,2024-09-23,Aryan Khan,West,Tamil Nadu,Electronics,Smart Watch,3,27698,2149,Net Banking,,
ORD00176,2025-07-07,Akash Mishra,North,Delhi,Electronics,Tablet,6,21012,1255,Debit Card,,
ORD00177,2024-03-19,Shreya Kadam,South,Gujarat,Office Supplies,Pen,10,39396,8329,Net Banking,,
ORD00178,2024-09-18,Abhishek Kulkarni,West,Gujarat,Electronics,Mobile,5,17744,1161,Net Banking,,
ORD00179,2024-05-09,Vivaan Ghosh,South,Gujarat,Furniture,Desk,1,14483,3105,Debit Card,,
ORD00180,2025-12-23,Aisha Deshmukh,South,Maharashtra,Electronics,Smart Watch,2,5554,1223,Credit Card,,
ORD00181,2024-04-26,Aditi Joshi,South,Tamil Nadu,Clothing,Shirt,7,21412,3267,Debit Card,,
ORD00182,2025-07-22,Tanvi Shaikh,East,Delhi,Electronics,Smart Watch,2,1993,440,Cash,,
ORD00183,2024-06-17,Aarav More,East,Rajasthan,Furniture,Sofa,6,21914,5105,Debit Card,,
ORD00184,2025-03-17,Pooja Sharma,West,Gujarat,Furniture,Cabinet,4,36389,6454,Credit Card,,
ORD00185,2025-02-22,Sai Ansari,North,Karnataka,Clothing,Jeans,1,6861,1507,Net Banking,,
ORD00186,2025-02-16,Karan Mishra,South,Maharashtra,Electronics,Headphones,7,596,82,Net Banking,,
ORD00187,2025-11-05,Vikas Kulkarni,East,Gujarat,Furniture,Desk,5,13363,1835,Cash,,
ORD00188,2025-04-28,Meera Deshmukh,South,Karnataka,Office Supplies,Notebook,1,28073,6107,Debit Card,,
ORD00189,2024-11-10,Tanvi Shetty,North,Delhi,Electronics,Tablet,7,49492,6053,Debit Card,,
ORD00190,2024-10-30,Ritika Kulkarni,West,Delhi,Electronics,Tablet,8,12773,1242,Debit Card,,
ORD00191,2025-02-14,Vivaan Deshmukh,West,Delhi,Furniture,Sofa,3,11906,1539,Debit Card,,
ORD00192,2024-09-01,Akash Shaikh,North,Maharashtra,Office Supplies,Printer Paper,9,17056,1623,Debit Card,,
ORD00193,2025-10-17,Neha Yadav,South,Gujarat,Clothing,Jeans,5,21104,1124,Credit Card,,
ORD00194,2024-12-24,Arjun Joshi,East,Maharashtra,Electronics,Mobile,7,17751,4066,Cash,,
ORD00195,2024-11-26,Priya Deshmukh,East,Rajasthan,Furniture,Cabinet,1,36251,5051,Cash,,
ORD00196,2025-12-07,Aditi Ghosh,North,Gujarat,Electronics,Smart Watch,7,42725,9518,Net Banking,,
ORD00197,2025-12-02,Priya Shetty,South,Karnataka,Office Supplies,Notebook,9,43867,4348,Cash,,
ORD00198,2025-12-19,Pooja Verma,North,Delhi,Furniture,Chair,3,20696,2978,UPI,,
ORD00199,2025-06-24,Pooja Sharma,North,Gujarat,Office Supplies,Pen,6,37436,3083,UPI,,
ORD00200,2025-06-12,Vikas Kulkarni,South,Tamil Nadu,Electronics,Laptop,9,30011,2773,Net Banking,,
ORD00201,2025-02-10,Aisha Joshi,North,Tamil Nadu,Furniture,Sofa,4,38913,6987,Debit Card,,
ORD00202,2024-08-20,Rahul Gupta,South,Karnataka,Furniture,Sofa,9,18632,3959,Debit Card,,
ORD00203,2025-11-19,Sai Joshi,South,Gujarat,Clothing,Jacket,1,10629,1809,Cash,,
ORD00204,2025-02-24,Karan Menon,East,Karnataka,Clothing,Jacket,2,34683,5999,Debit Card,,
ORD00205,2025-12-08,Neha More,West,Rajasthan,Office Supplies,Notebook,1,34166,7282,UPI,,
ORD00206,2024-11-25,Sakshi Jadhav,North,Delhi,Furniture,Table,9,36269,5913,Credit Card,,
ORD00207,2025-11-24,Sneha Deshmukh,North,Rajasthan,Electronics,Mobile,7,23497,4968,Net Banking,,
ORD00208,2024-07-16,Shreya Patel,East,Delhi,Electronics,Mobile,6,43133,7249,Net Banking,,
ORD00209,2025-10-17,Shreya Kadam,South,Delhi,Clothing,Jeans,4,40152,3674,UPI,,
ORD00210,2024-06-17,Kavya Menon,West,Maharashtra,Clothing,T-Shirt,5,15821,1478,UPI,,
ORD00211,2024-01-12,Akash Patel,West,Delhi,Clothing,Shoes,10,30705,3579,Credit Card,,
ORD00212,2024-08-14,Meera Nair,East,Delhi,Clothing,Shoes,3,5380,435,Cash,,
ORD00213,2025-06-12,Ishita Mishra,South,Delhi,Office Supplies,Printer Paper,4,29134,2698,Net Banking,,
ORD00214,2024-06-30,Sai More,East,Maharashtra,Clothing,Shirt,9,29742,5391,UPI,,
ORD00215,2025-07-15,Aisha Nair,East,Delhi,Clothing,T-Shirt,7,39549,9726,Net Banking,,
ORD00216,2024-05-01,Tanvi Patil,North,Gujarat,Electronics,Smart Watch,9,18752,2833,Cash,,
ORD00217,2024-06-03,Aisha Jadhav,West,Tamil Nadu,Clothing,Jacket,6,49380,10036,Credit Card,,
ORD00218,2025-09-23,Aarav More,North,Gujarat,Electronics,Mobile,4,7464,386,Net Banking,,
ORD00219,2024-09-14,Neha Gupta,West,Rajasthan,Clothing,Jacket,7,40001,3952,UPI,,
ORD00220,2024-10-15,Sai Rane,West,Maharashtra,Electronics,Tablet,6,34499,4305,Debit Card,,
ORD00221,2024-02-11,Shreya Kadam,North,Rajasthan,Electronics,Smart Watch,9,42956,6265,Credit Card,,
ORD00222,2025-05-25,Kavya Shaikh,North,Karnataka,Clothing,Shoes,9,23794,2833,Net Banking,,
ORD00223,2024-04-12,Sneha Tiwari,East,Gujarat,Furniture,Table,9,41664,9633,Debit Card,,
ORD00224,2024-11-08,Kavya Kadam,East,Maharashtra,Clothing,Jeans,7,43272,8520,Debit Card,,
ORD00225,2024-10-26,Aryan Shetty,West,Maharashtra,Clothing,Shirt,10,41676,7909,Debit Card,,
ORD00226,2024-04-04,Vivaan Khan,East,Tamil Nadu,Furniture,Table,8,30909,3649,UPI,,
ORD00227,2024-09-29,Neha Yadav,West,Gujarat,Office Supplies,Printer Paper,8,549,50,Credit Card,,
ORD00228,2024-02-27,Aarav Menon,East,Tamil Nadu,Clothing,Jeans,9,37798,7395,UPI,,
ORD00229,2025-08-14,Om Yadav,North,Karnataka,Furniture,Sofa,3,22127,2072,Credit Card,,
ORD00230,2025-10-15,Nikhil Tiwari,South,Rajasthan,Clothing,Jeans,8,1328,249,Credit Card,,
ORD00231,2024-11-21,Om Joshi,North,Karnataka,Office Supplies,Printer Paper,8,10414,2457,UPI,,
ORD00232,2025-10-27,Aryan Verma,North,Tamil Nadu,Office Supplies,Marker,3,12063,2103,Debit Card,,
ORD00233,2025-04-12,Tanvi Shaikh,East,Karnataka,Clothing,Shoes,10,39146,7472,Cash,,
ORD00234,2025-04-03,Abhishek Pawar,West,Karnataka,Office Supplies,Stapler,10,7137,1068,Credit Card,,
ORD00235,2024-01-13,Akash Shah,West,Delhi,Furniture,Sofa,6,6080,886,UPI,,
ORD00236,2025-10-19,Yash Verma,South,Delhi,Office Supplies,Marker,5,49861,6350,Cash,,
ORD00237,2025-07-14,Akash Gupta,North,Maharashtra,Electronics,Mobile,3,4684,1003,Net Banking,,
ORD00238,2024-08-23,Priya Jadhav,East,Karnataka,Electronics,Smart Watch,10,8866,1818,Credit Card,,
ORD00239,2025-02-16,Arjun Pawar,West,Delhi,Office Supplies,Printer Paper,3,5048,876,UPI,,
ORD00240,2024-01-06,Siddharth Kadam,South,Gujarat,Clothing,T-Shirt,5,47429,5075,UPI,,
ORD00241,2025-11-13,Rohan Jadhav,North,Delhi,Furniture,Desk,7,41572,5117,UPI,,
ORD00242,2024-05-13,Pooja Iyer,South,Delhi,Clothing,Shirt,4,41972,5465,Cash,,
ORD00243,2024-08-30,Aisha Khan,West,Rajasthan,Electronics,Laptop,7,37918,6064,Debit Card,,
ORD00244,2024-05-26,Akash Ansari,East,Gujarat,Office Supplies,Notebook,4,11558,2607,Credit Card,,
ORD00245,2024-11-22,Tanvi Mishra,South,Gujarat,Furniture,Desk,6,21096,4690,Debit Card,,
ORD00246,2024-07-31,Ananya Nair,South,Rajasthan,Furniture,Desk,7,49341,3200,Debit Card,,
ORD00247,2024-04-03,Aryan Verma,North,Karnataka,Clothing,Jeans,1,22197,3419,Credit Card,,
